iter	Passed	Remaining
0	135	13459
1	136	6695
2	137	4436
3	137	3309
4	138	2637
5	139	2185
6	140	1860
7	140	1616
8	141	1428
9	142	1279
10	142	1154
11	143	1050
12	144	964
13	144	889
14	145	824
15	146	766
16	146	716
17	147	671
18	147	630
19	148	595
20	149	562
21	150	532
22	150	504
23	151	479
24	152	456
25	152	434
26	153	414
27	153	395
28	154	378
29	155	361
30	155	346
31	156	332
32	157	319
33	157	306
34	158	294
35	159	283
36	159	272
37	160	262
38	161	252
39	161	242
40	162	233
41	162	224
42	163	216
43	163	208
44	164	200
45	165	193
46	165	186
47	166	180
48	167	173
49	167	167
50	168	161
51	169	156
52	169	150
53	170	145
54	170	139
55	171	134
56	172	129
57	172	125
58	173	120
59	173	115
60	174	111
61	175	107
62	176	103
63	176	99
64	177	95
65	178	91
66	178	88
67	179	84
68	179	80
69	180	77
70	181	73
71	181	70
72	182	67
73	183	64
74	183	61
75	184	58
76	184	55
77	185	52
78	185	49
79	186	46
80	187	43
81	187	41
82	188	38
83	189	36
84	189	33
85	190	31
86	191	28
87	191	26
88	192	23
89	193	21
90	193	19
91	194	16
92	195	14
93	195	12
94	196	10
95	196	8
96	197	6
97	198	4
98	198	2
99	199	0
